Num   theta     phi         ul          ul_err     nsamples
102   0.731    4.151   3.186880e-15  1.765149e-16   100000 
103   0.731    4.376   2.899762e-15  1.053021e-16   99900  
104   0.731    4.600   2.949713e-15  1.354820e-16   100000 
105   0.731    4.825   2.645551e-15  7.770260e-17   100000 
106   0.731    5.049   2.790934e-15  8.399005e-17   100000 
107   0.731    5.273   2.816998e-15  9.922416e-17   100000 
108   0.731    5.498   2.929042e-15  9.464322e-17   100000 
109   0.731    5.722   3.280116e-15  1.104631e-16   100000 
110   0.731    5.947   3.570566e-15  1.485851e-16   100000 
111   0.731    6.171   3.796186e-15  1.337202e-16   100000 
112   0.841    0.098   4.223430e-15  1.342200e-16   100000 
113   0.841    0.295   4.753910e-15  1.433456e-16   100000 
114   0.841    0.491   5.103151e-15  1.642919e-16   100000 
115   0.841    0.687   6.226903e-15  2.466544e-16   100000 
116   0.841    0.884   7.017186e-15  3.029636e-16   100000 
117   0.841    1.080   8.528010e-15  2.552964e-16   100000 
118   0.841    1.276   8.781792e-15  2.970280e-16   100000 
119   0.841    1.473   8.937487e-15  1.800001e-16   100000 
120   0.841    1.669   9.530158e-15  3.200882e-16   100000 
121   0.841    1.865   8.162026e-15  2.285613e-16   99900  
122   0.841    2.062   8.231536e-15  2.836340e-16   100000 
123   0.841    2.258   7.255445e-15  2.245537e-16   100000 
124   0.841    2.454   6.304889e-15  2.164976e-16   100000 
125   0.841    2.651   5.719981e-15  1.925773e-16   100000 
126   0.841    2.847   4.815646e-15  1.780659e-16   100000 
127   0.841    3.043   4.369992e-15  1.447968e-16   100000 
128   0.841    3.240   3.818768e-15  1.110151e-16   100000 
129   0.841    3.436   3.663120e-15  1.657218e-16   100000 
130   0.841    3.632   3.238765e-15  1.289969e-16   100000 
131   0.841    3.829   2.999328e-15  7.426486e-17   100000 
132   0.841    4.025   2.730646e-15  8.591884e-17   100000 
133   0.841    4.222   2.808249e-15  1.032116e-16   99900  
134   0.841    4.418   2.777757e-15  1.035095e-16   100000 
135   0.841    4.614   2.678325e-15  1.047896e-16   100000 
136   0.841    4.811   2.679932e-15  1.059019e-16   100000 
137   0.841    5.007   2.675735e-15  1.178452e-16   100000 
138   0.841    5.203   2.683164e-15  7.796422e-17   100000 
139   0.841    5.400   2.777326e-15  9.234645e-17   100000 
140   0.841    5.596   2.952903e-15  1.200482e-16   100000 
141   0.841    5.792   3.011892e-15  1.341989e-16   100000 
142   0.841    5.989   3.380422e-15  1.353520e-16   100000 
143   0.841    6.185   3.874401e-15  2.240493e-16   100000 
144   0.948    0.000   3.776764e-15  1.432811e-16   100000 
145   0.948    0.196   4.484450e-15  1.482330e-16   100000 
146   0.948    0.393   4.974310e-15  1.724445e-16   100000 
147   0.948    0.589   5.939594e-15  1.956953e-16   100000 
148   0.948    0.785   7.053144e-15  2.746452e-16   100000 
149   0.948    0.982   8.161858e-15  3.299471e-16   100000 
150   0.948    1.178   8.831845e-15  2.861628e-16   100000 
151   0.948    1.374   9.902444e-15  3.418487e-16   99900  
152   0.948    1.571   1.029362e-14  2.986272e-16   99900  
153   0.948    1.767   1.016097e-14  3.538447e-16   100000 
154   0.948    1.963   8.727047e-15  2.674552e-16   100000 
155   0.948    2.160   8.152247e-15  2.853767e-16   100000 
156   0.948    2.356   7.637223e-15  2.444821e-16   100000 
157   0.948    2.553   6.785090e-15  3.135834e-16   100000 
158   0.948    2.749   5.729129e-15  2.648773e-16   99900  
159   0.948    2.945   4.479125e-15  1.788862e-16   100000 
160   0.948    3.142   4.169893e-15  1.295772e-16   100000 
161   0.948    3.338   3.455764e-15  1.222367e-16   100000 
162   0.948    3.534   3.212276e-15  1.200367e-16   100000 
163   0.948    3.731   3.043906e-15  1.335794e-16   100000 
164   0.948    3.927   2.631852e-15  7.127458e-17   100000 
165   0.948    4.123   2.675096e-15  8.521667e-17   100000 
166   0.948    4.320   2.628174e-15  9.225608e-17   100000 
167   0.948    4.516   2.495205e-15  8.326284e-17   100000 
168   0.948    4.712   2.418439e-15  1.064284e-16   100000 
169   0.948    4.909   2.349476e-15  8.443126e-17   100000 
170   0.948    5.105   2.420968e-15  9.527884e-17   99900  
171   0.948    5.301   2.644658e-15  1.003455e-16   100000 
172   0.948    5.498   2.575756e-15  7.072050e-17   100000 
173   0.948    5.694   2.722598e-15  1.122940e-16   100000 
174   0.948    5.890   2.968388e-15  8.880552e-17   100000 
175   0.948    6.087   3.722277e-15  1.343543e-16   100000 
176   1.047    0.098   4.046282e-15  1.440559e-16   100000 
177   1.047    0.295   4.670974e-15  1.554001e-16   100000 
178   1.047    0.491   5.559984e-15  1.530210e-16   100000 
179   1.047    0.687   6.477857e-15  2.664085e-16   100000 
180   1.047    0.884   7.742168e-15  2.729717e-16   100000 
181   1.047    1.080   8.471165e-15  3.010309e-16   100000 
182   1.047    1.276   9.646318e-15  2.849449e-16   99900  
183   1.047    1.473   1.116595e-14  2.326862e-16   100000 
184   1.047    1.669   1.121311e-14  2.601447e-16   100000 
185   1.047    1.865   9.947313e-15  2.851394e-16   100000 
186   1.047    2.062   8.893399e-15  3.261506e-16   99900  
187   1.047    2.258   8.351910e-15  3.366006e-16   100000 
188   1.047    2.454   7.027656e-15  2.351126e-16   100000 
189   1.047    2.651   5.621808e-15  2.066866e-16   100000 
190   1.047    2.847   5.403606e-15  2.046795e-16   99900  
191   1.047    3.043   4.299491e-15  1.773429e-16   100000 
192   1.047    3.240   3.743882e-15  1.522012e-16   100000 
193   1.047    3.436   3.168099e-15  1.191408e-16   100000 
194   1.047    3.632   3.131085e-15  9.608201e-17   100000 
195   1.047    3.829   2.654510e-15  1.012954e-16   100000 
196   1.047    4.025   2.395469e-15  7.145989e-17   99900  
197   1.047    4.222   2.380427e-15  7.843533e-17   100000 
198   1.047    4.418   2.410623e-15  8.112081e-17   100000 
199   1.047    4.614   2.311192e-15  7.288414e-17   100000 
200   1.047    4.811   2.233676e-15  6.730274e-17   100000 
201   1.047    5.007   2.431993e-15  8.524766e-17   100000 
202   1.047    5.203   2.326514e-15  7.075248e-17   99900  
203   1.047    5.400   2.419163e-15  8.049832e-17   99900  
204   1.047    5.596   2.604825e-15  6.719089e-17   100000 
205   1.047    5.792   3.103413e-15  1.005346e-16   99900  
206   1.047    5.989   3.093557e-15  8.601479e-17   100000 
207   1.047    6.185   3.674949e-15  1.286914e-16   100000 
208   1.141    0.000   3.645904e-15  2.024943e-16   100000 
209   1.141    0.196   4.223614e-15  1.383147e-16   100000 
210   1.141    0.393   4.923219e-15  1.196092e-16   100000 
211   1.141    0.589   6.177905e-15  2.228584e-16   100000 
212   1.141    0.785   7.343742e-15  2.112837e-16   100000 
213   1.141    0.982   8.438217e-15  2.249522e-16   100000 
214   1.141    1.178   9.499829e-15  2.600436e-16   100000 
215   1.141    1.374   1.096527e-14  3.589528e-16   100000 
216   1.141    1.571   1.191853e-14  3.570095e-16   100000 
217   1.141    1.767   1.100863e-14  3.120948e-16   100000 
218   1.141    1.963   9.616243e-15  1.988548e-16   100000 
219   1.141    2.160   9.475802e-15  2.938967e-16   100000 
220   1.141    2.356   7.970451e-15  2.923918e-16   100000 
221   1.141    2.553   7.005638e-15  2.378707e-16   100000 
222   1.141    2.749   5.612026e-15  1.658420e-16   100000 
223   1.141    2.945   4.866389e-15  1.690386e-16   99900  
224   1.141    3.142   4.027414e-15  1.256632e-16   100000 
225   1.141    3.338   3.430611e-15  1.246098e-16   100000 
226   1.141    3.534   3.070218e-15  1.185112e-16   100000 
227   1.141    3.731   2.743648e-15  6.869267e-17   100000 
228   1.141    3.927   2.509989e-15  8.308301e-17   100000 
229   1.141    4.123   2.406924e-15  9.139142e-17   100000 
230   1.141    4.320   2.231232e-15  7.057023e-17   100000 
231   1.141    4.516   2.172657e-15  7.778394e-17   100000 
232   1.141    4.712   2.176777e-15  5.603693e-17   100000 
233   1.141    4.909   2.184867e-15  7.585498e-17   100000 
234   1.141    5.105   2.228566e-15  7.496202e-17   100000 
235   1.141    5.301   2.249716e-15  4.914691e-17   99900  
236   1.141    5.498   2.613379e-15  8.147362e-17   100000 
237   1.141    5.694   2.656288e-15  7.101651e-17   100000 
238   1.141    5.890   2.798245e-15  1.038144e-16   100000 
239   1.141    6.087   3.365197e-15  1.436034e-16   99900  
240   1.231    0.098   3.794730e-15  1.467322e-16   100000 
241   1.231    0.295   4.782192e-15  1.622800e-16   100000 
242   1.231    0.491   5.709084e-15  2.329538e-16   99900  
243   1.231    0.687   6.320918e-15  2.588144e-16   100000 
244   1.231    0.884   7.778465e-15  2.779446e-16   100000 
245   1.231    1.080   9.235612e-15  2.661200e-16   100000 
246   1.231    1.276   1.084349e-14  2.677741e-16   100000 
247   1.231    1.473   1.174771e-14  3.773027e-16   100000 
248   1.231    1.669   1.297756e-14  4.800074e-16   100000 
249   1.231    1.865   1.034914e-14  2.250784e-16   100000 
250   1.231    2.062   1.035862e-14  3.313811e-16   100000 
251   1.231    2.258   8.953766e-15  2.781194e-16   100000 
252   1.231    2.454   8.334312e-15  2.860865e-16   100000 
253   1.231    2.651   6.201979e-15  2.238846e-16   99900  
254   1.231    2.847   5.278590e-15  1.189839e-16   99900  
255   1.231    3.043   4.178134e-15  1.243942e-16   100000 
256   1.231    3.240   3.625431e-15  1.165955e-16   100000 
257   1.231    3.436   3.137205e-15  1.048046e-16   100000 
258   1.231    3.632   2.792550e-15  9.352890e-17   99900  
259   1.231    3.829   2.540184e-15  7.330394e-17   100000 
260   1.231    4.025   2.492651e-15  1.066928e-16   99900  
261   1.231    4.222   2.270794e-15  9.402315e-17   100000 
262   1.231    4.418   2.155608e-15  7.565381e-17   100000 
