x,y
2.6425e-09,1.481e-13
3.9637e-09,6.725e-14
5.285e-09,4.3e-14
6.6062e-09,3.35e-14
7.9274e-09,2.9e-14
9.2487e-09,3e-14
1.057e-08,3.26e-14
1.1891e-08,3.53e-14
1.3212e-08,3.67e-14
1.4534e-08,4e-14
1.5855e-08,3.95e-14
1.7176e-08,4.24e-14
1.8497e-08,4.35e-14
1.9819e-08,4.1e-14
2.114e-08,4.45e-14
2.2461e-08,4.51e-14
2.3782e-08,4.81e-14
2.5104e-08,5.55e-14
2.6425e-08,6.35e-14
2.7746e-08,1.058e-13
2.9067e-08,2.148e-13
3.0389e-08,7.5e-13
3.4352e-08,2.23e-13
3.5673e-08,1.215e-13
3.6995e-08,8.62e-14
3.8316e-08,6.82e-14
3.9637e-08,6.43e-14
4.0959e-08,6.11e-14
4.228e-08,6.28e-14
4.3601e-08,6.68e-14
4.4922e-08,6.89e-14
4.6243e-08,6.76e-14
4.7565e-08,7.19e-14
4.8886e-08,6.76e-14
5.0207e-08,6.81e-14
5.1528e-08,7.32e-14
5.285e-08,8.3e-14
5.4171e-08,8.05e-14
5.5492e-08,7.83e-14
5.6813e-08,7.55e-14
5.8135e-08,7.87e-14
5.9456e-08,8.84e-14
6.7383e-08,9.73e-14
6.8705e-08,9.24e-14
7.0026e-08,9.4e-14
7.1347e-08,9.51e-14
7.2668e-08,9.85e-14
7.399e-08,9.2e-14
7.5311e-08,9.31e-14
7.6632e-08,1.1e-13
7.7953e-08,1.04e-13
7.9275e-08,1.05e-13
8.0596e-08,1.01e-13
8.1917e-08,1.09e-13
8.3238e-08,1.086e-13
8.4559e-08,1.055e-13
8.5881e-08,1.134e-13
8.7202e-08,1.172e-13
8.8523e-08,1.162e-13
8.9844e-08,1.2e-13
9.1166e-08,1.16e-13
9.2487e-08,1.185e-13
9.3808e-08,1.26e-13
9.513e-08,1.275e-13
9.6451e-08,1.3e-13
9.7772e-08,1.25e-13
9.9093e-08,1.269e-13
1.0041e-07,1.22e-13
1.0174e-07,1.28e-13
1.0306e-07,1.318e-13
1.0438e-07,1.5e-13
1.057e-07,1.35e-13
1.0702e-07,1.42e-13
1.0834e-07,1.4e-13
1.0966e-07,1.36e-13
1.1098e-07,1.475e-13
1.1231e-07,1.423e-13
1.1363e-07,1.5e-13
1.1495e-07,1.41e-13
1.1627e-07,1.473e-13
1.1759e-07,1.57e-13
1.1891e-07,1.623e-13
1.2023e-07,1.52e-13
1.2155e-07,1.56e-13
1.2288e-07,1.57e-13
1.242e-07,1.674e-13
1.2552e-07,1.57e-13
1.2684e-07,1.629e-13
1.2816e-07,1.545e-13
1.2948e-07,1.68e-13
1.308e-07,1.75e-13
1.3212e-07,1.7e-13
1.3344e-07,1.713e-13
1.3477e-07,1.82e-13
1.3609e-07,1.866e-13
1.3741e-07,1.855e-13
1.3873e-07,1.88e-13
1.4005e-07,1.86e-13
1.4137e-07,1.859e-13
1.4269e-07,1.905e-13
1.4402e-07,1.85e-13
1.4534e-07,1.97e-13
1.4666e-07,1.82e-13
1.4798e-07,2e-13
1.493e-07,2.08e-13
1.5062e-07,2.12e-13
1.5194e-07,1.975e-13
1.5326e-07,2.1e-13
1.5459e-07,2.291e-13
1.5591e-07,2.3e-13
1.5723e-07,2.27e-13
1.5855e-07,2.345e-13
1.5987e-07,2.2e-13
1.6119e-07,2.287e-13
1.6251e-07,2.38e-13
1.6383e-07,2.34e-13
1.6515e-07,2.405e-13
1.6648e-07,2.49e-13
1.678e-07,2.71e-13
1.6912e-07,2.67e-13
1.7044e-07,2.82e-13
1.7176e-07,2.7e-13
1.7308e-07,2.734e-13
1.744e-07,2.8e-13
1.7572e-07,2.87e-13
1.7705e-07,2.737e-13
1.7837e-07,3e-13
1.7969e-07,2.6e-13
1.8101e-07,2.75e-13
1.8233e-07,2.86e-13
1.8365e-07,3.01e-13
1.8497e-07,2.824e-13
1.8629e-07,3.1e-13
1.8762e-07,3.05e-13
1.8894e-07,3.09e-13
1.9026e-07,3.3e-13
